,Applicant ID,Business Structure,Country,Location,NAICS,Business Ownership (1),Business Ownership (2),Business Ownership (3),Business Ownership (4),Business Ownership (5),Personal Credit Score,Business Credit Score,Annual Revenue (2 years ago),Annual Revenue (1 year ago),Annual Revenue (latest year),Net Profit Margin,Business Debt (2 years ago),Business Debt (1 year ago),Business Debt (latest year),NOI (2 years ago),NOI (1 year ago),NOI (latest year),DSCR (2 years ago),DSCR (1 year ago),DSCR (latest year),Industry Experience,Managerial Experience,Years in Business,Collateral Availability,Loan Amount,Fast Approval,For Profit,Acquisition Request,Working Capital,Business Expansion,Equipment Purchase or Leasing,Inventory Purchase,Real Estate Acquisition or Improvement,Business Acquisition or Buyout,Refinancing Existing Debt,Emergency Funds,Franchise Financing,Contract Financing,Licensing or Permits,Line of Credit Establishment
0,1,Sole Proprietorship,US,"Tempe, AZ",931300,100,0,0,0,0,745,104,1356000,804000,490000,10.34,425978,332512,176109,387639,292610,320518,0.91,0.88,1.82,12,5,11,True,1952000,False,True,True,False,True,True,False,True,False,False,False,False,True,True,False
1,2,Sole Proprietorship,US,"Paterson, NJ",444130,40,37,23,0,0,814,137,1208000,476000,151000,11.09,295949,267275,127034,414328,363494,129574,1.4,1.36,1.02,20,16,9,False,3800000,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True
2,3,Sole Proprietorship,US,"Lakewood, CO",931370,100,0,0,0,0,653,195,1033000,804000,897000,9.21,225032,385284,54923,398306,385284,15378,1.77,1.0,0.28,9,13,13,True,495000,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True
3,4,LLC,US,"Fayetteville, NC",722320,51,49,0,0,0,734,131,627000,961000,967000,12.06,130909,175136,64050,158399,199655,101839,1.21,1.14,1.59,18,7,5,False,1509000,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False
4,5,Sole Proprietorship,US,"Wichita, KS",923110,58,42,0,0,0,819,196,479000,270000,206000,7.14,176871,86811,114111,210476,121535,126663,1.19,1.4,1.11,10,17,9,True,4766000,False,True,True,True,False,True,True,False,True,False,False,False,True,False,False
5,6,S Corporation (S-Corp),US,"Sioux Falls, SD",921130,100,0,0,0,0,692,195,918000,437000,438000,14.69,497345,159004,254285,566973,152643,350913,1.14,0.96,1.38,7,3,2,True,4462000,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False
6,7,S Corporation (S-Corp),US,"New Orleans, LA",541330,100,0,0,0,0,610,148,1148000,1109000,880000,0.39,415853,219943,288458,740218,318917,398072,1.78,1.45,1.38,20,10,3,False,1128000,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
7,8,LLC,US,"Corona, CA",541211,51,49,0,0,0,604,191,305000,1278000,1196000,6.7,214138,245515,391095,237693,316714,731347,1.11,1.29,1.87,9,10,14,True,720000,False,True,True,True,True,False,False,True,False,False,True,True,True,True,False
8,9,Sole Proprietorship,US,"Plano, TX",524210,100,0,0,0,0,788,178,1065000,1463000,1486000,8.12,453131,467414,244820,462193,266425,328058,1.02,0.57,1.34,13,12,15,False,605000,False,True,False,False,False,True,True,True,False,True,False,True,True,False,True
9,10,LLC,US,"Anaheim, CA",931540,100,0,0,0,0,790,198,526000,1206000,1452000,8.47,328403,190544,122705,223314,141002,147246,0.68,0.74,1.2,3,20,10,True,5047000,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True
10,11,LLC,US,"Mesa, AZ",931450,100,0,0,0,0,605,112,726000,1366000,1446000,3.58,199361,393678,395102,253188,409425,497828,1.27,1.04,1.26,2,9,4,True,2555000,False,True,True,True,False,False,True,True,False,True,True,False,False,False,True
11,12,Sole Proprietorship,US,"Laredo, TX",337110,39,38,23,0,0,695,162,1372000,1456000,1339000,10.78,172173,412672,230142,277198,437432,241649,1.61,1.06,1.05,19,7,6,True,4577000,False,True,True,False,False,False,False,False,False,True,False,True,True,False,True
12,13,Sole Proprietorship,US,"Akron, OH",931200,100,0,0,0,0,771,112,342000,700000,1212000,8.97,156403,387989,275227,184555,419028,206420,1.18,1.08,0.75,4,0,7,True,1361000,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
13,14,S Corporation (S-Corp),US,"St. Louis, MO",446110,100,0,0,0,0,776,149,737000,1374000,1014000,4.5,316633,270088,256274,294468,348413,371597,0.93,1.29,1.45,10,15,12,True,1357000,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True
14,15,S Corporation (S-Corp),US,"Newport News, VA",522298,34,26,20,20,0,794,101,1106000,786000,1399000,6.33,146010,66694,332432,189813,88703,561810,1.3,1.33,1.69,19,1,15,False,4580000,False,True,True,True,False,True,False,True,False,True,True,True,True,True,False
15,16,Sole Proprietorship,US,"Laredo, TX",522130,100,0,0,0,0,750,177,1307000,1339000,152000,13.9,393735,171132,77361,326800,200224,85097,0.83,1.17,1.1,0,13,3,True,2435000,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True
16,17,LLC,US,"Macon, GA",924120,100,0,0,0,0,756,114,432000,1136000,223000,3.62,290885,330750,141009,398512,476280,215743,1.37,1.44,1.53,4,4,2,True,1315000,False,True,False,False,False,True,False,True,True,False,True,True,False,True,False
17,18,Sole Proprietorship,US,"Sunnyvale, CA",448120,100,0,0,0,0,850,148,945000,1140000,815000,13.13,130339,356787,360504,220272,428144,425394,1.69,1.2,1.18,10,16,12,True,4547000,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
18,19,S Corporation (S-Corp),US,"Springfield, MA",523930,100,0,0,0,0,813,180,278000,682000,1365000,4.15,92593,267299,465016,118519,200474,664972,1.28,0.75,1.43,17,4,3,True,1236000,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True
19,20,Sole Proprietorship,US,"Surprise, AZ",532111,100,0,0,0,0,472,182,1111000,575000,767000,14.72,65014,276870,51612,51361,418073,89288,0.79,1.51,1.73,19,1,3,False,1013000,False,True,False,True,False,False,True,True,False,False,False,True,False,True,True
20,21,S Corporation (S-Corp),US,"Thornton, CO",931110,100,0,0,0,0,690,151,1308000,1334000,930000,6.24,185636,70998,175543,265459,120696,187831,1.43,1.7,1.07,14,17,6,False,847000,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
21,22,Sole Proprietorship,US,"Cape Coral, FL",332710,100,0,0,0,0,691,121,1034000,760000,1364000,11.05,303698,234691,431130,294587,326220,340592,0.97,1.39,0.79,16,6,10,False,4182000,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
22,23,Sole Proprietorship,US,"Laredo, TX",931170,100,0,0,0,0,754,148,385000,1251000,541000,8.52,187523,448767,124834,211900,435303,161035,1.13,0.97,1.29,5,18,8,False,1179000,False,True,False,True,True,False,True,True,False,False,True,False,True,True,False
23,24,S Corporation (S-Corp),US,"Pembroke Pines, FL",931470,100,0,0,0,0,788,179,795000,1216000,1014000,11.17,116387,358774,232635,122206,491520,172149,1.05,1.37,0.74,9,9,15,True,4282000,False,True,False,True,True,False,True,False,False,False,False,True,True,True,False
24,25,Sole Proprietorship,US,"Eugene, OR",813110,100,0,0,0,0,823,160,1192000,736000,267000,1.68,296978,239083,128872,222733,329934,148202,0.75,1.38,1.15,16,7,1,True,2536000,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False
25,26,Partnership,US,"Pasadena, CA",484121,75,25,0,0,0,765,227,1113000,439000,994000,1.16,159944,368619,85789,185535,294895,100373,1.16,0.8,1.17,17,18,4,False,959000,False,True,True,False,False,True,True,True,True,False,True,False,False,True,True
26,27,LLC,US,"Pomona, CA",931440,100,0,0,0,0,653,191,724000,422000,615000,9.29,231619,131482,227883,201508,186704,428420,0.87,1.42,1.88,16,19,12,False,4965000,False,True,True,False,True,False,True,True,True,False,False,False,True,False,True
27,28,S Corporation (S-Corp),US,"Winston-Salem, NC",444130,100,0,0,0,0,683,188,334000,474000,1450000,5.69,176730,142272,225280,318114,231903,364953,1.8,1.63,1.62,0,10,12,True,1840000,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False
28,29,Sole Proprietorship,US,"Raleigh, NC",621391,63,37,0,0,0,697,119,371000,1022000,320000,12.79,312190,232509,81241,343409,283660,104800,1.1,1.22,1.29,18,2,6,True,3472000,False,True,False,False,True,False,True,True,False,True,True,False,False,True,False
29,30,LLC,US,"Oceanside, CA",541110,73,27,0,0,0,766,175,631000,485000,313000,8.85,366078,356732,196538,505187,356732,190641,1.38,1.0,0.97,7,4,12,False,2040000,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True
30,31,Sole Proprietorship,US,"Buffalo, NY",922140,100,0,0,0,0,747,106,1079000,482000,986000,12.74,417717,220851,369138,233921,340110,509410,0.56,1.54,1.38,10,1,9,False,2756000,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True
31,32,LLC,US,"Pasadena, CA",931430,100,0,0,0,0,831,195,1402000,230000,257000,8.57,477618,141681,77481,597022,208271,130942,1.25,1.47,1.69,10,19,5,False,5039000,False,True,False,True,False,True,False,False,False,True,True,False,False,True,True
32,33,Joint Venture,US,"Sacramento, CA",931160,100,0,0,0,0,772,109,1033000,683000,448000,1.39,140492,377107,270879,164375,297914,246499,1.17,0.79,0.91,3,15,4,False,786000,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False
33,34,LLC,US,"Paterson, NJ",722515,27,26,25,22,0,828,194,1267000,1394000,972000,2.36,406662,164633,268514,487994,153108,499436,1.2,0.93,1.86,20,14,8,True,995000,False,True,False,True,False,True,True,True,False,True,True,False,False,True,True
34,35,Sole Proprietorship,US,"El Paso, TX",931390,28,26,23,23,0,710,118,536000,1353000,191000,4.68,148809,385849,121144,206844,455301,83589,1.39,1.18,0.69,14,8,0,True,2404000,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False
35,36,S Corporation (S-Corp),US,"Sacramento, CA",484110,73,27,0,0,0,765,127,1277000,1289000,694000,14.1,332125,173074,353286,249093,233649,395680,0.75,1.35,1.12,5,9,10,True,4920000,False,True,False,True,True,False,True,False,False,False,True,True,True,False,False
36,37,S Corporation (S-Corp),US,"Charlotte, NC",931170,68,32,0,0,0,529,162,288000,754000,1157000,7.7,206662,95352,368623,270727,67699,541875,1.31,0.71,1.47,0,15,13,True,530000,False,True,True,True,False,True,False,False,True,True,False,False,True,False,False
37,38,Sole Proprietorship,US,"Oklahoma City, OK",481211,100,0,0,0,0,768,154,687000,1155000,526000,13.96,59576,128219,104285,71491,160273,141827,1.2,1.25,1.36,4,12,0,True,1391000,False,True,False,True,False,False,True,False,True,True,False,True,True,False,False
38,39,Sole Proprietorship,US,"St. Louis, MO",451110,100,0,0,0,0,730,116,1124000,281000,205000,14.19,382576,92299,142810,401704,111681,198505,1.05,1.21,1.39,4,14,13,True,1868000,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False
39,40,S Corporation (S-Corp),US,"Visalia, CA",448310,100,0,0,0,0,753,186,1344000,870000,1194000,13.48,138423,243714,278382,142575,292456,314571,1.03,1.2,1.13,10,2,2,True,3683000,False,True,True,True,True,False,False,False,True,True,False,True,True,True,False
40,41,LLC,US,"Little Rock, AR",541511,100,0,0,0,0,610,105,877000,1074000,845000,1.38,137285,95226,79267,200436,115223,83230,1.46,1.21,1.05,20,12,8,False,2582000,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True
41,42,LLC,US,"Fayetteville, NC",929120,100,0,0,0,0,804,107,1325000,955000,997000,10.03,215293,207019,74077,282033,161474,112597,1.31,0.78,1.52,12,12,1,False,4865000,False,True,False,True,True,False,True,True,True,True,True,True,True,False,True
42,43,LLC,US,"Fort Lauderdale, FL",339950,100,0,0,0,0,786,189,1272000,1418000,837000,9.21,172951,408911,210129,148737,641990,220635,0.86,1.57,1.05,0,19,7,False,4785000,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False
43,44,S Corporation (S-Corp),US,"McAllen, TX",325620,76,24,0,0,0,367,146,808000,1383000,574000,0.22,330935,380860,123053,397122,373242,142741,1.2,0.98,1.16,17,11,2,False,705000,False,True,True,True,True,True,False,True,True,False,True,False,True,True,False
44,45,Sole Proprietorship,US,"Naperville, IL",931360,40,34,26,0,0,715,159,333000,536000,1150000,2.85,165378,257812,282257,74420,237187,409272,0.45,0.92,1.45,8,6,1,True,3828000,False,True,False,False,True,True,False,True,True,True,False,False,False,False,True
45,46,Partnership,US,"Surprise, AZ",484121,61,39,0,0,0,821,182,855000,240000,794000,7.4,417037,131156,457676,446229,161321,768895,1.07,1.23,1.68,1,18,1,False,685000,False,True,False,False,True,False,True,False,True,False,True,False,True,True,True
46,47,LLC,US,"Indianapolis, IN",929120,54,46,0,0,0,703,147,586000,303000,1269000,2.86,416394,194736,334078,474689,258998,340759,1.14,1.33,1.02,3,2,0,True,5006000,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False
47,48,LLC,US,"Eugene, OR",446110,49,26,25,0,0,781,120,474000,225000,569000,2.88,92756,150353,154278,85335,215004,154278,0.92,1.43,1.0,13,12,4,False,868000,False,True,False,False,True,False,True,False,True,True,True,True,True,False,True
48,49,Sole Proprietorship,US,"Honolulu, HI",541430,100,0,0,0,0,849,116,954000,327000,1065000,14.08,69901,50432,363062,88774,53962,464719,1.27,1.07,1.28,18,19,0,True,3148000,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False
49,50,LLC,US,"Tempe, AZ",441310,100,0,0,0,0,763,185,836000,998000,1100000,11.07,94262,226161,276571,145163,176405,409325,1.54,0.78,1.48,13,10,9,True,3277000,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True
50,51,S Corporation (S-Corp),US,"Olathe, KS",931420,62,38,0,0,0,687,112,1032000,514000,567000,10.95,498887,414844,122481,658530,265500,142077,1.32,0.64,1.16,13,0,5,True,3778000,False,True,True,True,False,False,False,True,True,True,False,True,True,True,False
51,52,Sole Proprietorship,US,"Lincoln, NE",931450,55,45,0,0,0,726,148,155000,270000,541000,12.18,77481,97088,399807,116996,191263,307851,1.51,1.97,0.77,8,15,2,False,706000,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True
52,53,Sole Proprietorship,US,"Waco, TX",515120,80,20,0,0,0,774,131,1238000,1170000,748000,0.91,224800,114281,175821,391152,217133,293621,1.74,1.9,1.67,15,19,9,True,4329000,False,True,False,True,False,True,False,False,True,True,True,True,False,True,False
53,54,Sole Proprietorship,US,"Boise, ID",931200,100,0,0,0,0,850,111,519000,588000,1207000,5.91,102168,274450,56299,155295,518710,75440,1.52,1.89,1.34,3,2,0,False,592000,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False
54,55,S Corporation (S-Corp),US,"Glendale, CA",922120,100,0,0,0,0,737,172,1130000,1231000,380000,3.63,326956,446082,242156,382538,606671,322067,1.17,1.36,1.33,0,12,0,False,3583000,False,True,True,True,True,False,False,False,True,True,False,False,True,False,True
55,56,Sole Proprietorship,US,"Killeen, TX",424410,100,0,0,0,0,780,169,474000,670000,793000,14.74,119252,56866,157863,183648,78475,168913,1.54,1.38,1.07,8,8,12,False,3485000,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False
56,57,S Corporation (S-Corp),US,"Syracuse, NY",561740,100,0,0,0,0,706,157,992000,305000,157000,6.83,250650,91062,74260,348403,137503,117330,1.39,1.51,1.58,5,20,3,True,2005000,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False
57,58,LLC,US,"Minneapolis, MN",929110,100,0,0,0,0,690,100,1067000,779000,624000,4.63,77889,371059,201806,95024,608536,228040,1.22,1.64,1.13,7,1,8,True,3496000,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True
58,59,LLC,US,"Orlando, FL",931360,52,25,23,0,0,664,179,275000,150000,1288000,0.68,120721,51165,229968,175045,101306,328854,1.45,1.98,1.43,0,11,15,False,4190000,False,True,True,False,False,True,False,True,True,True,False,False,True,True,False
59,60,LLC,US,"Lubbock, TX",339950,100,0,0,0,0,850,154,1207000,471000,842000,5.93,446891,266449,167803,741839,418324,234924,1.66,1.57,1.4,7,18,6,True,2681000,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True
60,61,LLC,US,"Henderson, NV",423910,100,0,0,0,0,629,113,837000,658000,166000,6.05,95108,51321,90807,119836,81087,81726,1.26,1.58,0.9,9,11,14,True,849000,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False
61,62,S Corporation (S-Corp),US,"Pomona, CA",931270,100,0,0,0,0,766,120,887000,917000,672000,3.26,291287,145177,112159,422366,165501,204129,1.45,1.14,1.82,18,19,0,False,3556000,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True
62,63,Sole Proprietorship,US,"Toledo, OH",531120,66,34,0,0,0,736,28,1416000,285000,1056000,13.79,146691,59150,96238,132021,105878,101049,0.9,1.79,1.05,18,5,0,False,1678000,False,True,True,True,True,True,False,True,False,False,True,False,True,True,False
63,64,Sole Proprietorship,US,"Colorado Springs, CO",812112,100,0,0,0,0,544,134,1343000,1031000,718000,6.2,369034,85077,183716,487124,164198,238830,1.32,1.93,1.3,11,5,7,False,2917000,False,True,False,False,True,False,True,True,False,False,False,False,False,True,True
64,65,S Corporation (S-Corp),US,"Phoenix, AZ",931260,100,0,0,0,0,784,156,1109000,1259000,1307000,11.5,59788,266444,428030,83105,436968,522196,1.39,1.64,1.22,15,6,9,True,1514000,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False
65,66,S Corporation (S-Corp),US,"Grand Rapids, MI",931210,100,0,0,0,0,717,164,833000,833000,293000,4.59,223811,433205,158513,311097,658471,210822,1.39,1.52,1.33,11,0,15,False,729000,False,True,False,False,True,False,False,True,False,True,True,False,False,True,True
66,67,S Corporation (S-Corp),US,"McAllen, TX",333112,100,0,0,0,0,597,134,917000,1220000,1184000,4.76,68812,84052,175322,85326,80689,131491,1.24,0.96,0.75,12,9,12,False,1178000,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True
67,68,Sole Proprietorship,US,"Frisco, TX",711410,100,0,0,0,0,694,138,944000,375000,514000,4.96,323921,270355,451675,456728,348757,429091,1.41,1.29,0.95,8,20,7,False,1805000,False,True,True,True,False,True,True,True,True,False,False,False,False,True,True
68,69,S Corporation (S-Corp),US,"Modesto, CA",931470,100,0,0,0,0,728,126,248000,595000,281000,9.97,247881,197211,84132,195825,270179,131245,0.79,1.37,1.56,11,19,3,True,1417000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
69,70,Sole Proprietorship,US,"Salt Lake City, UT",722515,59,41,0,0,0,772,198,1135000,1431000,1174000,5.11,229364,473146,377688,295879,634015,619408,1.29,1.34,1.64,8,11,2,True,670000,False,True,False,False,False,True,True,False,True,False,True,True,False,False,False
70,71,Sole Proprietorship,US,"Waco, TX",481211,100,0,0,0,0,825,149,1213000,338000,490000,9.88,225414,200703,179656,238938,238836,217383,1.06,1.19,1.21,2,4,9,True,2550000,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True
71,72,Sole Proprietorship,US,"Montgomery, AL",621910,100,0,0,0,0,615,163,909000,1466000,428000,7.73,359259,402428,211597,542481,668030,277192,1.51,1.66,1.31,8,6,13,True,2014000,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True
72,73,LLC,US,"Richmond, VA",611110,100,0,0,0,0,809,136,392000,378000,519000,7.01,72977,189768,179405,96329,193563,233226,1.32,1.02,1.3,5,4,13,True,2143000,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False
73,74,LLC,US,"Roseville, CA",722515,100,0,0,0,0,618,103,739000,1359000,947000,5.65,80956,487828,210338,64764,643932,288163,0.8,1.32,1.37,15,18,0,False,1699000,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True
74,75,Sole Proprietorship,US,"Salt Lake City, UT",711410,100,0,0,0,0,776,199,204000,242000,709000,8.0,93594,158372,156742,167533,107692,186522,1.79,0.68,1.19,3,0,9,True,4161000,False,True,False,False,False,True,True,False,True,True,True,False,True,True,False
75,76,S Corporation (S-Corp),US,"Mobile, AL",448310,53,47,0,0,0,630,163,327000,1143000,564000,12.22,92021,286394,484670,109504,386631,368349,1.19,1.35,0.76,5,3,9,False,3875000,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False
76,77,S Corporation (S-Corp),US,"Aurora, IL",488510,59,41,0,0,0,670,113,496000,1286000,813000,1.51,128397,357516,350995,175903,507672,484373,1.37,1.42,1.38,5,18,12,False,4797000,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False
77,78,Sole Proprietorship,US,"Plano, TX",722310,100,0,0,0,0,785,138,1329000,1296000,646000,12.42,61068,374662,181701,84884,505793,234394,1.39,1.35,1.29,10,11,13,False,4391000,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False
78,79,Partnership,US,"Fremont, CA",541330,100,0,0,0,0,752,119,1054000,724000,844000,13.86,301256,185628,67663,545273,252454,117056,1.81,1.36,1.73,16,1,3,False,5005000,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True
79,80,LLC,US,"Carrollton, TX",931420,100,0,0,0,0,711,110,784000,1260000,1137000,4.1,366586,316406,154194,392247,572694,217413,1.07,1.81,1.41,2,9,10,True,2244000,False,True,True,False,True,False,False,False,False,False,True,True,True,True,True
80,81,S Corporation (S-Corp),US,"Lancaster, CA",931480,100,0,0,0,0,651,127,1375000,320000,523000,13.9,458233,233251,383870,586538,242581,429934,1.28,1.04,1.12,7,3,13,False,951000,False,True,False,True,False,False,True,False,True,False,False,True,True,True,False
81,82,S Corporation (S-Corp),US,"Newark, NJ",541110,100,0,0,0,0,818,182,1436000,932000,458000,12.15,141955,160789,173022,222869,212241,280295,1.57,1.32,1.62,12,0,5,False,937000,False,True,False,True,True,False,True,True,True,True,True,False,True,False,False
82,83,Sole Proprietorship,US,"Port St. Lucie, FL",443142,45,31,24,0,0,783,164,703000,420000,167000,7.71,494145,220352,78095,592974,332731,96837,1.2,1.51,1.24,0,5,13,True,1141000,False,True,True,False,True,False,False,True,False,False,True,False,True,True,True
83,84,Sole Proprietorship,US,"Yonkers, NY",541511,100,0,0,0,0,833,181,933000,320000,616000,9.07,468033,158961,140303,552278,278181,206245,1.18,1.75,1.47,14,3,13,True,2064000,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
84,85,Sole Proprietorship,US,"Bakersfield, CA",931260,78,22,0,0,0,837,131,791000,1230000,151000,10.18,100227,84864,193446,125283,110323,145084,1.25,1.3,0.75,8,16,8,True,909000,False,True,False,False,False,True,False,False,False,True,True,True,True,False,True
85,86,S Corporation (S-Corp),US,"Augusta, GA",515120,80,20,0,0,0,786,125,962000,1124000,358000,2.81,184966,76696,61634,294095,62890,86287,1.59,0.82,1.4,7,10,11,True,1785000,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True
86,87,S Corporation (S-Corp),US,"Ontario, CA",931200,52,48,0,0,0,762,177,248000,555000,1132000,5.76,95578,188327,415088,153880,227875,730554,1.61,1.21,1.76,0,15,2,False,1674000,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False
87,88,LLC,US,"Grand Prairie, TX",711320,79,21,0,0,0,650,181,310000,239000,847000,9.56,110279,422088,72221,153287,122405,81609,1.39,0.29,1.13,15,18,5,True,1845000,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True
88,89,S Corporation (S-Corp),US,"Virginia Beach, VA",441310,100,0,0,0,0,665,114,1331000,898000,269000,14.39,197868,112863,147473,229526,95933,197613,1.16,0.85,1.34,20,0,3,False,3865000,False,True,True,True,False,False,True,False,False,False,False,True,False,True,True
89,90,S Corporation (S-Corp),US,"Lakewood, CO",931510,100,0,0,0,0,625,193,987000,982000,1248000,3.39,351410,478443,196962,502516,464089,196962,1.43,0.97,1.0,20,1,5,False,742000,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True
