Applicant ID,Business Structure,Country,Location,NAICS,Business Ownership (1),Business Ownership (2),Business Ownership (3),Business Ownership (4),Business Ownership (5),Personal Credit Score,Business Credit Score,Annual Revenue (2 years ago),Annual Revenue (1 year ago),Annual Revenue (latest year),Net Profit Margin,Business Debt (2 years ago),Business Debt (1 year ago),Business Debt (latest year),NOI (2 years ago),NOI (1 year ago),NOI (latest year),DSCR (2 years ago),DSCR (1 year ago),DSCR (latest year),Industry Experience,Managerial Experience,Years in Business,Collateral Availability,Loan Amount,Fast Approval,For Profit,Acquisition Request,Working Capital,Business Expansion,Equipment Purchase or Leasing,Inventory Purchase,Real Estate Acquisition or Improvement,Business Acquisition or Buyout,Refinancing Existing Debt,Emergency Funds,Franchise Financing,Contract Financing,Licensing or Permits,Line of Credit Establishment,Eligibility,Eligibility Score,CatBoost_Prediction,GradientBoosting_Prediction,LightGBM_Prediction,LogisticRegression_Prediction,NeuralNet_Prediction,RandomForest_Prediction,XGBoost_Prediction,Meta_Learner_Prediction
31,S Corporation (S-Corp),US,"Oceanside, CA",928130,50,29,21,0,0,762,161,3944000,2727000,779000,64.64,1643437,2249220,354629,2333680,2609095,503573,1.42,1.16,1.42,20,20,4,True,2830000,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,"['7(a)', '504']",88.86560423615168,0,1,0,0,0,0,1,0
34,Sole Proprietorship,US,"Boston, MA",811310,100,0,0,0,0,754,181,239000,4921000,2860000,75.73,67630,2902622,1424869,87919,3628277,2165800,1.3,1.25,1.52,7,15,2,True,4635000,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,"['7(a)', '504']",97.9773882115959,1,1,1,0,0,1,1,1
54,S Corporation (S-Corp),US,"San Francisco, CA",811310,100,0,0,0,0,698,161,2462000,4564000,755000,57.95,1064690,1190185,380439,1724797,1463927,437504,1.62,1.23,1.15,0,5,3,True,685000,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,"['7(a)', '504']",40.41821016577756,1,1,1,0,0,0,1,1
64,Sole Proprietorship,US,"Gainesville, FL",541511,100,0,0,0,0,708,189,4417000,2911000,4290000,19.67,4621621,266272,577937,3188918,330177,843788,0.69,1.24,1.46,15,13,8,True,650000,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,"['7(a)', '504']",95.23546043961863,1,1,1,0,0,1,1,1
127,LLC,US,"Eugene, OR",811310,57,23,20,0,0,741,184,4257000,1075000,4652000,66.95,791127,114041,2240509,933529,128866,3114307,1.18,1.13,1.39,11,13,5,True,565000,False,True,True,True,False,True,True,True,False,False,False,False,True,False,True,"['7(a)', '504']",38.525301653499376,0,1,1,0,0,1,1,1
131,Sole Proprietorship,US,"Cary, NC",624120,100,0,0,0,0,805,161,4170000,3502000,3971000,21.85,941956,487819,735253,1045571,741484,867598,1.11,1.52,1.18,18,3,13,True,905000,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,"['7(a)', '504']",39.98292589480094,1,1,1,0,0,1,1,1
152,LLC,US,"Philadelphia, PA",481211,100,0,0,0,0,713,188,3895000,2950000,2472000,73.83,2354505,633534,1224903,3343397,1077007,1825105,1.42,1.7,1.49,6,1,1,True,2420000,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,"['7(a)', '504']",38.82400079035649,1,1,1,0,0,1,1,1
166,Sole Proprietorship,US,"Savannah, GA",931180,100,0,0,0,0,743,196,4764000,1586000,1839000,31.11,3673427,183189,362154,4150972,186852,572203,1.13,1.02,1.58,16,15,4,True,4440000,False,True,False,False,True,False,False,True,True,False,True,True,False,True,False,"['7(a)', '504']",117.65233167488418,1,1,1,0,0,0,1,1
170,LLC,US,"Memphis, TN",541330,100,0,0,0,0,683,194,3820000,1338000,3821000,99.29,1474927,497712,2810192,1828909,781407,3793759,1.24,1.57,1.35,1,13,10,True,2075000,False,True,False,False,True,True,False,True,True,True,True,False,True,True,False,"['7(a)', '504']",50.71429114794572,1,1,1,0,0,0,1,1
205,LLC,US,"Detroit, MI",931150,100,0,0,0,0,682,170,3737000,4550000,4923000,4.16,2247168,798750,161175,3483110,958500,204692,1.55,1.2,1.27,18,10,1,True,1730000,False,True,False,False,False,True,True,True,True,False,False,False,True,True,False,"['7(a)', '504']",59.47114855449029,1,1,1,0,0,0,1,1
